# webcelex random #50%
Head;;HeadSyl;;PhonSylCLX;;SylCnt
bacterium;;bac-te-ri-um;;b{k-t7-r7m;;3
Bactria;;Bac-tri-a;;b{k-tr7;;2
bad;;bad;;b{d;;1
bad;;bad;;b{d;;1
bad debt;;bad debt;;"b{d-dEt;;2
bad feeling;;bad feel-ing;;"b{d-fi-lIN;;3
badge;;badge;;b{_;;1
badger;;badg-er;;b{-_@R;;2
badly;;bad-ly;;b{d-lI;;2
badly-behaved;;bad-ly--be-haved;;"b{d-lI-bI-h1vd;;4
badly-off;;bad-ly--off;;"b{d-lI-Qf;;3
baffle;;baf-fle;;b{-fP;;2
baffling;;baf-fling;;b{-fP-IN;;3
bafflingly;;baf-fling-ly;;b{-flIN-lI;;3
bag;;bag;;b{g;;1
bag and baggage;;bag and bag-gage;;"b{g-{nd-b{-gI_;;4
baggage;;bag-gage;;b{-gI_;;2
baggy;;bag-gy;;b{-gI;;2
bagnio;;bagn-io;;b#-nj5;;2
bagpipe;;bag-pipe;;b{g-p2p;;2
bags;;bags;;b{gz;;1
bah;;bah;;b#;;1
Bahamian;;Ba-ha-mi-an;;b@-h1-m7n;;3
Bahamian;;Ba-ha-mi-an;;b@-h1-m7n;;3
bailey;;bai-ley;;b1-lI;;2
bailiff;;bail-iff;;b1-lIf;;2
bailment;;bail-ment;;b1l-m@nt;;2
bail out;;bail out;;"b1l-6t;;2
bairn;;bairn;;b8n;;1
bait;;bait;;b1t;;1
bait;;bait;;b1t;;1
bakelite;;ba-ke-lite;;b1-k@-l2t;;3
baker;;bak-er;;b1-k@R;;2
baker's dozen;;bak-er's doz-en;;"b1-k@z-dV-zH;;4
baking-hot;;bak-ing--hot;;"b1-kIN-hQt;;3
baksheesh;;bak-sheesh;;"b{k-SiS;;2
balaclava;;bal-a-cla-va;;"b{-l@-kl#-v@;;4
balance;;bal-ance;;b{-l@ns;;2
balanced diet;;bal-anced di-et;;"b{-l@nst-d2-@t;;4
balance of trade;;bal-ance of trade;;"b{-l@ns-Qv-tr1d;;4
balance-wheel;;bal-ance--wheel;;b{-l@ns-wil;;3
bald;;bald;;b$ld;;1
balderdash;;bal-der-dash;;b$l-d@-d{S;;3
balding;;bald-ing;;b$l-dIN;;2
baldly;;bald-ly;;b$ld-lI;;2
baldness;;bald-ness;;b$ld-nIs;;2
bald-pate;;bald--pate;;b$ld-p1t;;2
bale;;bale;;b1l;;1
bale out;;bale out;;"b1l-6t;;2
balk;;balk;;b$k;;1
ball;;ball;;b$l;;1
ballade;;bal-lade;;b{-l#d;;2
ballast;;bal-last;;b{-l@st;;2
ballcock;;ball-cock;;b$l-kQk;;2
ball-dress;;ball--dress;;b$l-drEs;;2
ballerina;;bal-le-ri-na;;"b{-l@-ri-n@;;4
ballet-dancer;;bal-let--danc-er;;b{-lI-"d#n-s@R;;4
ballet-skirt;;bal-let--skirt;;b{-lI-sk3t;;3
balloon;;bal-loon;;b@-lun;;2
ballooning;;bal-loon-ing;;b@-lu-nIN;;3
balloonist;;bal-loon-ist;;b@-lu-nIst;;3
ballot;;bal-lot;;b{-l@t;;2
ballot-box;;bal-lot--box;;b{-l@t-bQks;;3
ball-pen;;ball--pen;;b$l-pEn;;2
ballpoint;;ball-point;;b$l-p4nt;;2
ballpoint-pen;;ball-point--pen;;"b$l-p4nt-pEn;;3
ballroom;;ball-room;;b$l-rUm;;2
balls;;balls;;b$lz;;1
balls-up;;balls--up;;b$lz-Vp;;2
balls up;;balls up;;"b$lz-Vp;;2
ball-up;;ball--up;;b$l-Vp;;2
bally;;bal-ly;;b{-lI;;2
balmy;;balm-y;;b#-mI;;2
balsa;;bal-sa;;bQl-s@;;2
balsam;;bal-sam;;b$l-s@m;;2
baluster;;bal-us-ter;;b{-l@s-t@R;;3
balustrade;;bal-us-trade;;"b{-l@s-tr1d;;3
bamboo;;bam-boo;;b{m-bu;;2
bamboo curtain;;bam-boo cur-tain;;"b{m-bu-k3-tH;;4
ban;;ban;;b{n;;1
ban;;ban;;b{n;;1
banal;;ba-nal;;b@-n#l;;2
banality;;ba-nal-i-ty;;b@-n{-l@-tI;;4
banana;;ba-nan-a;;b@-n#-n@;;3
banana republic;;ba-nan-a re-pub-lic;;b@-"n#-n@-rI-pV-blIk;;6
bandage;;band-age;;b{n-dI_;;2
Band-Aid;;Band--Aid;;b{nd-1d;;2
bandanna;;ban-dan-na;;b{n-d{-n@;;3
b and b;;b and b;;"bi-{nd-bi;;3
bandbox;;band-box;;b{nd-bQks;;2
bandoleer;;ban-do-leer;;"b{n-d5-l7R;;3
bandwagon;;band-wag-on;;b{nd-"w{-g@n;;3
bandy;;ban-dy;;b{n-dI;;2
bandy;;ban-dy;;b{n-dI;;2
bandy about;;ban-dy a-bout;;"b{n-dI-@-b6t;;4
bane;;bane;;b1n;;1
baneful;;bane-ful;;b1n-fUl;;2
bang;;bang;;b{N;;1
banger;;bang-er;;b{-N@R;;2
Bangladesh;;Ban-gla-desh;;"b{N-gl@-dES;;3
bangle;;ban-gle;;b{N-gP;;2
bang-on;;bang--on;;"b{N-Qn;;2
bang out;;bang out;;"b{N-6t;;2
bang up;;bang up;;"b{N-Vp;;2
banish;;ban-ish;;b{-nIS;;2
bankbill;;bank-bill;;b{Nk-bIl;;2
bank-draft;;bank--draft;;b{Nk-dr#ft;;2
banker;;bank-er;;b{N-k@R;;2
banker's card;;bank-er's card;;b{N-k@z-k#d;;3
banker's draft;;bank-er's draft;;b{N-k@z-dr#ft;;3
bank holiday;;bank hol-i-day;;"b{Nk-hQ-l@-d1;;4
banking;;bank-ing;;b{N-kIN;;2
bank on;;bank on;;b{Nk-Qn;;2
bankrupt;;bank-rupt;;b{N-krVpt;;2
bankruptcy;;bank-rupt-cy;;b{N-kr@pt-sI;;3
banner headline;;ban-ner head-line;;"b{-n@-hEd-l2n;;4
bannock;;ban-nock;;b{-n@k;;2
banns;;banns;;b{nz;;1
banquet;;ban-quet;;b{N-kwIt;;2
banquet;;ban-quet;;b{N-kwIt;;2
banshee;;ban-shee;;b{n-Si;;2
bantam;;ban-tam;;b{n-t@m;;2
banter;;ban-ter;;b{n-t@R;;2
bantering;;ban-ter-ing;;b{n-t@-rIN;;3
Bantu;;Ban-tu;;"b{n-tu;;2
Bantu;;Ban-tu;;"b{n-tu;;2
baobab;;ba-o-bab;;b1-5-b{b;;3
baptism;;bap-tism;;b{p-tI-z@m;;3
bar;;bar;;b#R;;1
Bar;;Bar;;b#;;1
barb;;barb;;b#b;;1
Barbadian;;Bar-ba-di-an;;b#-b1-d7n;;3
barbarian;;bar-bar-i-an;;b#-b8-r7n;;3
barbarian;;bar-bar-i-an;;b#-b8-r7n;;3
barbarism;;bar-ba-rism;;b#-b@-rI-z@m;;4
barbecue;;bar-be-cue;;b#-bI-kju;;3
barbed wire;;barbed wire;;"b#bd-w2-@R;;3
barbitone;;bar-bi-tone;;b#-bI-t5n;;3
bard;;bard;;b#d;;1
barebacked;;bare-backed;;b8-b{kt;;2
barefaced;;bare-faced;;b8-f1st;;2
barefoot;;bare-foot;;b8-fUt;;2
barefooted;;bare-foot-ed;;"b8-fU-tId;;3
barefooted;;bare-foot-ed;;"b8-fU-tId;;3
bareheaded;;bare-head-ed;;"b8-hE-dId;;3
barelegged;;bare-leg-ged;;"b8-lEgd;;2
barelegged;;bare-leg-ged;;"b8-lEgd;;2
barely;;bare-ly;;b8-lI;;2
bareness;;bare-ness;;b8-nIs;;2
bargain for;;bar-gain for;;b#-gIn-f$R;;3
bargain on;;bar-gain on;;b#-gIn-Qn;;3
barge;;barge;;b#_;;1
barge;;barge;;b#_;;1
bargeman;;barge-man;;b#_-m@n;;2
baritone;;bar-i-tone;;b{-rI-t5n;;3
barium;;bar-i-um;;b8-r7m;;2
barium meal;;bar-i-um meal;;"b8-r7m-mil;;3
bark;;bark;;b#k;;1
bark;;bark;;b#k;;1
bark;;bark;;b#k;;1
barker;;bark-er;;b#-k@R;;2
barley;;bar-ley;;b#-lI;;2
barleycorn;;bar-ley-corn;;b#-lI-k$n;;3
barman;;bar-man;;b#-m@n;;2
barn;;barn;;b#n;;1
barnstorm;;barn-storm;;b#n-st$m;;2
barnstormer;;barn-storm-er;;b#n-"st$-m@R;;3
barnyard;;barn-yard;;b#n-j#d;;2
barometer;;ba-rom-e-ter;;b@-rQ-mI-t@R;;4
baron;;bar-on;;b{-r@n;;2
baronage;;bar-on-age;;b{-r@-nI_;;3
barony;;bar-o-ny;;b{-r@-nI;;3
bar parlour;;bar par-lour;;b#-"p#-l@R;;3
barracuda;;bar-ra-cu-da;;"b{-r@-ku-d@;;4
barrage;;bar-rage;;b{-r#Z;;2
barrel organ;;bar-rel or-gan;;b{-r@l-"$-g@n;;4
barricade;;bar-ri-cade;;"b{-rI-k1d;;3
barrier;;bar-ri-er;;b{-r7R;;2
barrister;;bar-ris-ter;;b{-rIs-t@R;;3
barrow-boy;;bar-row--boy;;b{-r5-b4;;3
barrow-man;;bar-row--man;;b{-r5-m{n;;3
barter;;bar-ter;;b#-t@R;;2
barterer;;bar-ter-er;;b#-t@-r@R;;3
basalt;;ba-salt;;b{-s$lt;;2
bascule;;bas-cule;;b{-skjul;;2
base;;base;;b1s;;1
baseboard;;base-board;;b1s-b$d;;2
baseless;;base-less;;b1s-lIs;;2
baseline;;base-line;;b1s-l2n;;2
basely;;base-ly;;b1s-lI;;2
basement;;base-ment;;b1s-m@nt;;2
base metal;;base met-al;;"b1s-mE-tP;;3
baseness;;base-ness;;b1s-nIs;;2
bashfully;;bash-ful-ly;;b{S-fU-lI;;3
basic;;ba-sic;;b1-sIk;;2
basil;;bas-il;;b{-zP;;2
basilica;;ba-sil-i-ca;;b@-zI-lI-k@;;4
basin;;ba-sin;;b1-sH;;2
bas-relief;;bas--re-lief;;"b{s-rI-lif;;3
bass;;bass;;b{s;;1
bass clef;;bass clef;;"b1s-klEf;;2
bastard;;bas-tard;;b#-st@d;;2
bastard;;bas-tard;;b#-st@d;;2
bastardy;;bas-tar-dy;;b#-st@-dI;;3
baste;;baste;;b1st;;1
bast fibre;;bast fi-bre;;b{st-"f2-b@R;;3
bastion;;bas-tion;;b{-st7n;;2
bat;;bat;;b{t;;1
bat;;bat;;b{t;;1
bated;;bat-ed;;b1-tId;;2
Bath;;Bath;;b#T;;1
bathe;;bathe;;b1D;;1
bather;;bath-er;;b1-D@R;;2
bathing;;bath-ing;;b1-DIN;;2
bathing-cap;;bath-ing--cap;;b1-DIN-k{p;;3
bathing-suit;;bath-ing--suit;;b1-DIN-sut;;3
bath mat;;bath mat;;b#T-m{t;;2
baths;;baths;;b#Dz;;1
bathtub;;bath-tub;;b#T-tVb;;2
batman;;bat-man;;b{t-m@n;;2
baton;;ba-ton;;b{-t@n;;2
batten down;;bat-ten down;;"b{-tH-d6n;;3
batten upon;;bat-ten up-on;;b{-tH-@-"pQn;;4
batter;;bat-ter;;b{-t@R;;2
battering ram;;bat-ter-ing ram;;b{-t@-rIN-r{m;;4
battiness;;bat-ti-ness;;b{-tI-nIs;;3
batting crease;;bat-ting crease;;b{-tIN-kris;;3
battledress;;bat-tle-dress;;b{-tP-drEs;;3
battleground;;bat-tle-ground;;b{-tP-gr6nd;;3
battlements;;bat-tle-ments;;b{-tP-m@nts;;3
bauble;;bau-ble;;b$-bP;;2
bauxite;;baux-ite;;b$k-s2t;;2
bawbee;;baw-bee;;"b$-bi;;2
bawd;;bawd;;b$d;;1
bawdily;;bawd-i-ly;;b$-dI-lI;;3
bawdiness;;bawd-i-ness;;b$-dI-nIs;;3
bawdy;;bawd-y;;b$-dI;;2
bawdy;;bawd-y;;b$-dI;;2
bawl;;bawl;;b$l;;1
bay;;bay;;b1;;1
bay;;bay;;b1;;1
bay leaf;;bay leaf;;b1-lif;;2
bayonet;;bay-o-net;;b1-@-nIt;;3
bayonet;;bay-o-net;;b1-@-nIt;;3
bayou;;bay-ou;;b2-u;;2
bay window;;bay win-dow;;"b1-wIn-d5;;3
bay-wreath;;bay--wreath;;b1-riT;;2
bazooka;;ba-zoo-ka;;b@-zu-k@;;3
beach;;beach;;biJ;;1
beach buggy;;beach bug-gy;;biJ-"bV-gI;;3
beachwear;;beach-wear;;biJ-w8R;;2
beacon-fire;;bea-con--fire;;bi-k@n-f2-@R;;4
beading;;bead-ing;;bi-dIN;;2
beadle;;bea-dle;;bi-dP;;2
beagle;;bea-gle;;bi-gP;;2
beak;;beak;;bik;;1
be-all and end-all;;be--all and end--all;;"bi-$l-{nd-End-$l;;5
beam;;beam;;bim;;1
bean;;bean;;bin;;1
beano;;bean-o;;bi-n5;;2
bearably;;bear-a-bly;;b8-r@-blI;;3
bear away;;bear a-way;;"b8-r@-w1;;3
beard;;beard;;b7d;;1
beard;;beard;;b7d;;1
bear down;;bear down;;"b8-d6n;;2
bearer;;bear-er;;b8-r@R;;2
bear hug;;bear hug;;b8-hVg;;2
bearish;;bear-ish;;b8-rIS;;2
bearishly;;bear-ish-ly;;b8-rIS-lI;;3
bearishness;;bear-ish-ness;;b8-rIS-nIs;;3
bear on;;bear on;;b8-rQn;;2
bearskin;;bear-skin;;b8-skIn;;2
bear upon;;bear up-on;;b8-r@-"pQn;;3
bear with;;bear with;;b8-wID;;2
beastly;;beast-ly;;bist-lI;;2
beast of burden;;beast of bur-den;;"bist-Qv-b3-dH;;4
beat down;;beat down;;"bit-d6n;;2
beater;;beat-er;;bi-t@R;;2
beatific;;be-a-tif-ic;;"bi-@-tI-fIk;;4
beat in;;beat in;;"bit-In;;2
beating;;beat-ing;;bi-tIN;;2
beatitude;;be-at-i-tude;;bi-{-tI-tjud;;4
beat out;;beat out;;"bit-6t;;2
beat up;;beat up;;"bit-Vp;;2
beau monde;;beau monde;;"b5-m$nd;;2
beaut;;beaut;;bjut;;1
beauteous;;beau-te-ous;;bju-tj@s;;2
beautiful;;beau-ti-ful;;bju-t@-fUl;;3
beautifully;;beau-ti-ful-ly;;bju-t@-flI;;3
beautify;;beau-ti-fy;;bju-tI-f2;;3
beauty;;beau-ty;;bju-tI;;2
beauty queen;;beau-ty queen;;bju-tI-kwin;;3
beauty shop;;beau-ty shop;;bju-tI-SQp;;3
beaver away;;bea-ver a-way;;"bi-v@-r@-w1;;4
becalmed;;be-calmed;;bI-k#md;;2
become;;be-come;;bI-kVm;;2
become of;;be-come of;;bI-kVm-Qv;;3
becomingly;;be-com-ing-ly;;bI-kV-mIN-lI;;4
bed and breakfast;;bed and break-fast;;"bEd-{nd-brEk-f@st;;4
bedaubed;;be-daubed;;bI-d$bd;;2
bedbug;;bed-bug;;bEd-bVg;;2
bedclothes;;bed-clothes;;bEd-kl5Dz;;2
bed down;;bed down;;"bEd-d6n;;2
bedecked;;be-decked;;bI-dEkt;;2
bed out;;bed out;;"bEd-6t;;2
bedraggled;;be-drag-gled;;bI-dr{-gPd;;3
bedridden;;bed-rid-den;;bEd-"rI-dH;;3
bedrock;;bed-rock;;bEd-rQk;;2
bed-roll;;bed--roll;;bEd-r5l;;2
bedroom;;bed-room;;bEd-rUm;;2
bedside manner;;bed-side man-ner;;"bEd-s2d-m{-n@R;;4
bedsit;;bed-sit;;bEd-sIt;;2
bedsore;;bed-sore;;bEd-s$R;;2
bedspread;;bed-spread;;bEd-sprEd;;2
bedstead;;bed-stead;;bEd-stEd;;2
bee;;bee;;bi;;1
beech;;beech;;biJ;;1
beech mast;;beech mast;;biJ-m#st;;2
beef;;beef;;bif;;1
beef cattle;;beef cat-tle;;bif-"k{-tP;;3
beef tea;;beef tea;;"bif-ti;;2
beehive;;bee-hive;;bi-h2v;;2
beeline;;bee-line;;bi-l2n;;2
beep;;beep;;bip;;1
beer money;;beer mon-ey;;b7-"mV-nI;;3
beery;;beer-y;;b7-rI;;2
beeswax;;bees-wax;;biz-w{ks;;2
beeswax;;bees-wax;;biz-w{ks;;2
beetle;;bee-tle;;bi-tP;;2
beetle-browed;;bee-tle--browed;;bi-tP-br6d;;3
beetling;;bee-tling;;bi-tP-IN;;3
befall;;be-fall;;bI-f$l;;2
befit;;be-fit;;bI-fIt;;2
befittingly;;be-fit-ting-ly;;bI-fI-tIN-lI;;4
befog;;be-fog;;bI-fQg;;2
beforehand;;be-fore-hand;;bI-f$-h{nd;;3
beforehand;;be-fore-hand;;bI-f$-h{nd;;3
befoul;;be-foul;;bI-f6l;;2
begad;;be-gad;;bI-g{d;;2
beget;;be-get;;bI-gEt;;2
begetter;;be-get-ter;;bI-gE-t@R;;3
beggar;;beg-gar;;bE-g@R;;2
beggarliness;;beg-gar-li-ness;;bE-g@-lI-nIs;;4
beggarwoman;;beg-gar-wom-an;;bE-g@-"wU-m@n;;4
beggary;;beg-gar-y;;bE-g@-rI;;3
beginning;;be-gin-ning;;bI-gI-nIN;;3
beg off;;beg off;;"bEg-Qf;;2
Begon;;Be-gon;;b@-g~N;;2
begone;;be-gone;;bI-gQn;;2
begonia;;be-gon-ia;;bI-g5-nj@;;3
begrimed;;be-grimed;;bI-gr2md;;2
beguile;;be-guile;;bI-g2l;;2
beguilement;;be-guile-ment;;bI-g2l-m@nt;;3
behalf;;be-half;;bI-h#f;;2
behave;;be-have;;bI-h1v;;2
behaviour;;be-hav-iour;;bI-h1-vj@R;;3
behaviourism;;be-hav-iour-ism;;bI-h1-vj@-rI-z@m;;5
behaviourist;;be-hav-iour-ist;;bI-h1-vj@-rIst;;4
behead;;be-head;;bI-hEd;;2
Behemoth;;Be-he-moth;;bI-hi-mQT;;3
behind;;be-hind;;bI-h2nd;;2
behindhand;;be-hind-hand;;bI-h2nd-h{nd;;3
behindhand;;be-hind-hand;;bI-h2nd-h{nd;;3
behold;;be-hold;;bI-h5ld;;2
beholder;;be-hold-er;;bI-h5l-d@R;;3
behove;;be-hove;;bI-h5v;;2
beige;;beige;;b1Z;;1
beige;;beige;;b1Z;;1
being;;be-ing;;bi-IN;;2
bejewel;;be-jew-el;;bI-_u-@l;;3
bejewelled;;be-jew-elled;;bI-_u-@ld;;3
belabour;;be-la-bour;;bI-l1-b@R;;3
beldame;;bel-dame;;bEl-d@m;;2
beleaguer;;be-lea-guer;;bI-li-g@R;;3
Belgian;;Bel-gian;;bEl-_@n;;2
Belgian;;Bel-gian;;bEl-_@n;;2
belief;;be-lief;;bI-lif;;2
believe in;;be-lieve in;;bI-liv-In;;3
Belisha;;Be-li-sha;;bI-li-S@;;3
belittle;;be-lit-tle;;bI-lI-tP;;3
bell;;bell;;bEl;;1
bell-bottoms;;bell--bot-toms;;bEl-"bQ-t@mz;;3
bellboy;;bell-boy;;bEl-b4;;2
bell-buoy;;bell--buoy;;bEl-b4;;2
belles-lettres;;belles--let-tres;;"bEl-lE-tr@;;3
bellflower;;bell-flow-er;;bEl-"fl6-@R;;3
bellhop;;bell-hop;;bEl-hQp;;2
belligerence;;bel-lig-er-ence;;bI-lI-_@-r@ns;;4
bellow;;bel-low;;bE-l5;;2
bellows;;bel-lows;;bE-l5z;;2
bell-wether;;bell--weth-er;;bEl-"wE-D@R;;3
belly-ache;;bel-ly--ache;;bE-lI-1k;;3
belly button;;bel-ly but-ton;;bE-lI-"bV-tH;;4
belly dance;;bel-ly dance;;bE-lI-d#ns;;3
belly-flop;;bel-ly--flop;;bE-lI-flQp;;3
bellyful;;bel-ly-ful;;bE-lI-fUl;;3
belly-laugh;;bel-ly--laugh;;bE-lI-l#f;;3
belong;;be-long;;bI-lQN;;2
belongings;;be-long-ings;;bI-lQ-NINz;;3
beloved;;be-lov-ed;;bI-lVvd;;2
beloved;;be-lov-ed;;bI-lVvd;;2
beloved;;be-lov-ed;;bI-lVvd;;2
below;;be-low;;bI-l5;;2
belting;;belt-ing;;bEl-tIN;;2
belt out;;belt out;;"bElt-6t;;2
belt up;;belt up;;"bElt-Vp;;2
beltway;;belt-way;;bElt-w1;;2
bemuse;;be-muse;;bI-mjuz;;2
bemused;;be-mused;;bI-mjuzd;;2
ben;;ben;;bEn;;1
bench;;bench;;bEnJ;;1
bencher;;bench-er;;bEn-J@R;;2
bend;;bend;;bEnd;;1
bend;;bend;;bEnd;;1
bends;;bends;;bEndz;;1
bend to;;bend to;;bEnd-tu;;2
beneath;;be-neath;;bI-niT;;2
beneath;;be-neath;;bI-niT;;2
benedick;;ben-e-dick;;bE-nI-dIk;;3
Benedict;;Ben-e-dict;;bE-nI-dIkt;;3
Benedictine;;Ben-e-dic-tine;;"bE-nI-dIk-tIn;;4
benedictine;;ben-e-dic-tine;;"bE-nI-dIk-tin;;4
Benedictine;;Ben-e-dic-tine;;"bE-nI-dIk-tIn;;4
benediction;;ben-e-dic-tion;;"bE-nI-dIk-SH;;4
Benedictus;;Ben-e-dic-tus;;"bE-nI-dIk-t@s;;4
benefactor;;ben-e-fac-tor;;bE-nI-f{k-t@R;;4
benefactress;;ben-e-fac-tress;;bE-nI-f{k-trIs;;4
beneficed;;ben-e-ficed;;bE-nI-fIst;;3
beneficent;;be-nef-i-cent;;bI-nE-fI-sHt;;4
beneficently;;be-nef-i-cent-ly;;bI-nE-fI-sHt-lI;;5
beneficially;;ben-e-fi-cial-ly;;"bE-nI-fI-S@-lI;;5
benefit;;ben-e-fit;;bE-nI-fIt;;3
benefit of the doubt;;ben-e-fit of the doubt;;"bE-nI-fIt-Qv-D@-d6t;;6
benevolent;;be-nev-o-lent;;bI-nE-v@-l@nt;;4
benevolently;;be-nev-o-lent-ly;;bI-nE-v@-l@nt-lI;;5
Bengalese;;Ben-ga-lese;;bEN-g@-liz;;3
benignant;;be-nig-nant;;bI-nIg-n@nt;;3
benignity;;be-nig-ni-ty;;bI-nIg-n@-tI;;4
benignly;;be-nign-ly;;bI-n2n-lI;;3
Beninese;;Be-nin-ese;;"bE-nI-niz;;3
Beninese;;Be-nin-ese;;"bE-nI-niz;;3
bequest;;be-quest;;bI-kwEst;;2
bereave;;be-reave;;bI-riv;;2
bereaved;;be-reaved;;bI-rivd;;2
bereaved;;be-reaved;;bI-rivd;;2
bereavement;;be-reave-ment;;bI-riv-m@nt;;3
beret;;be-ret;;bE-r1;;2
beriberi;;ber-i-ber-i;;"bE-rI-bE-rI;;4
berk;;berk;;b3k;;1
Bermuda;;Ber-mu-da;;b@-mju-d@;;3
berth;;berth;;b3T;;1
berth;;berth;;b3T;;1
beseech;;be-seech;;bI-siJ;;2
beseeching;;be-seech-ing;;bI-siJ;;2
beseechingly;;be-seech-ing-ly;;bI-si-JIN-lI;;4
besides;;be-sides;;bI-s2dz;;2
besiege;;be-siege;;bI-si_;;2
bespattered;;be-spat-tered;;bI-sp{-t@d;;3
bestiality;;bes-ti-al-i-ty;;"bE-stI-{-l@-tI;;5
bestially;;bes-tial-ly;;bEs-tj@-lI;;3
best man;;best man;;"bEst-m{n;;2
bestow;;be-stow;;bI-st5;;2
bestowal;;be-stow-al;;bI-st5-@l;;3
betake;;be-take;;bI-t1k;;2
betel-nut;;be-tel--nut;;bi-tP-nVt;;3
b^ete-noire;;bete--noire;;"b1t-nw#R;;2
bethink;;be-think;;bI-TINk;;2
betide;;be-tide;;bI-t2d;;2
betoken;;be-to-ken;;bI-t5-k@n;;3
betray;;be-tray;;bI-tr1;;2
betrayal;;be-tray-al;;bI-tr1-@l;;3
betrayer;;be-tray-er;;bI-tr1-@R;;3
betrothed;;be-trothed;;bI-tr5Dd;;2
better;;bet-ter;;bE-t@R;;2
better;;bet-ter;;bE-t@R;;2
betterment;;bet-ter-ment;;bE-t@-m@nt;;3
between;;be-tween;;bI-twin;;2
between;;be-tween;;bI-twin;;2
betwixt;;be-twixt;;bI-twIkst;;2
betwixt;;be-twixt;;bI-twIkst;;2
betwixt and between;;be-twixt and be-tween;;bI-"twIkst-{nd-bI-twin;;5
beware;;be-ware;;bI-w8R;;2
bewilderment;;be-wil-der-ment;;bI-wIl-d@-m@nt;;4
bewitch;;be-witch;;bI-wIJ;;2
bewitchingly;;be-witch-ing-ly;;bI-wI-JIN-lI;;4
beyond;;be-yond;;bI-jQnd;;2
beyond;;be-yond;;bI-jQnd;;2
Bhutan;;Bhu-tan;;"bu-t#n;;2
Bhutani;;Bhu-tan-i;;"bu-t#-nI;;3
bias;;bi-as;;b2-@s;;2
bias binding;;bi-as bind-ing;;"b2-@s-b2n-dIN;;4
bib;;bib;;bIb;;1
Bible;;Bi-ble;;b2-bP;;2
biblical;;bib-li-cal;;bI-blI-kP;;3
biblically;;bib-li-cal-ly;;bI-blI-k@-lI;;4
bibliography;;bib-li-og-ra-phy;;"bI-blI-Q-gr@-fI;;5
bibliophile;;bib-li-o-phile;;bI-blI-5-f2l;;4
bicarb;;bi-carb;;b2-k#b;;2
bicarbonate of soda;;bi-car-bon-ate of so-da;;b2-"k#-b@-n@t-Qv-s5-d@;;7
bicentennial;;bi-cen-ten-ni-al;;"b2-sEn-tE-nj@l;;4
bicentennial;;bi-cen-ten-ni-al;;"b2-sEn-tE-nj@l;;4
biceps;;bi-ceps;;b2-sEps;;2
bicker;;bick-er;;bI-k@R;;2
bicycle;;bi-cy-cle;;b2-sI-kP;;3
bicycle;;bi-cy-cle;;b2-sI-kP;;3
bid;;bid;;bId;;1
bid;;bid;;bId;;1
bid;;bid;;bId;;1
bidding;;bid-ding;;bI-dIN;;2
bide;;bide;;b2d;;1
bid fair;;bid fair;;"bId-f8R;;2
biennial;;bi-en-ni-al;;b2-E-n7l;;3
biff;;biff;;bIf;;1
bifocal;;bi-fo-cal;;"b2-f5-kP;;3
bifurcate;;bi-fur-cate;;b2-f@-k1t;;3
bigamist;;big-a-mist;;bI-g@-mIst;;3
bigamy;;big-a-my;;bI-g@-mI;;3
big-boned;;big--boned;;"bIg-b5nd;;2
big business;;big busi-ness;;"bIg-bIz-nIs;;3
big deal;;big deal;;"bIg-dil;;2
Big Dipper;;Big Dip-per;;"bIg-dI-p@R;;3
big game;;big game;;"bIg-g1m;;2
bighead;;big-head;;bIg-hEd;;2
bight;;bight;;b2t;;1
bigot;;big-ot;;bI-g@t;;2
bigoted;;big-ot-ed;;bI-g@-tId;;3
bigotry;;big-ot-ry;;bI-g@-trI;;3
big sister;;big sis-ter;;"bIg-sI-st@R;;3
big stick;;big stick;;"bIg-stIk;;2
big time;;big time;;bIg-t2m;;2
big-timer;;big--tim-er;;bIg-t2-m@R;;3
bigwig;;big-wig;;bIg-wIg;;2
bijou;;bi-jou;;bi-Zu;;2
bikini;;bi-ki-ni;;bI-ki-nI;;3
bilabial;;bi-la-bi-al;;"b2-l1-bj@l;;3
bilateral;;bi-lat-er-al;;"b2-l{-t@-r@l;;4
bile;;bile;;b2l;;1
bile-duct;;bile--duct;;b2l-dVkt;;2
bilge-water;;bilge--wa-ter;;bIl_-"w$-t@R;;3
bilharzia;;bil-har-zi-a;;bIl-h#-z7;;3
bilingual;;bi-lin-gual;;b2-lIN-gw@l;;3
bilious;;bil-ious;;bI-lj@s;;2
billboard;;bill-board;;bIl-b$d;;2
billet;;bil-let;;bI-lIt;;2
billet-doux;;bil-let--doux;;"bI-l1-du;;3
billfold;;bill-fold;;bIl-f5ld;;2
billiard;;bil-liard;;bI-lj@d;;2
billiard-marker;;bil-liard--mark-er;;bI-lj@d-"m#-k@R;;4
billiards;;bil-liards;;bI-lj@dz;;2
billiard-table;;bil-liard--ta-ble;;bI-lj@d-"t1-bP;;4
billion;;bil-lion;;bI-lj@n;;2
bill of fare;;bill of fare;;"bIl-Qv-f8R;;3
bill of health;;bill of health;;"bIl-Qv-hElT;;3
billowy;;bil-low-y;;bI-l5-I;;3
billsticker;;bill-stick-er;;bIl-"stI-k@R;;3
billy;;bil-ly;;bI-lI;;2
billy-goat;;bil-ly--goat;;bI-lI-g5t;;3
billy-o;;bil-ly--o;;bI-lI-5;;3
